rain.storm_mean_mm,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period,pp_pass
40,1,false,0,-1.000000,true,0,0.000000,true,16532,10.021333,true,109.33419799804688,0.503026,true,0.8991000056266785,0.053579,false,0,-1.000000,false,0,-1.000000,true,150,74.000000,1700,trees,unrecorded,9,,0,3450,0.5386,,11000,true
40,2,false,0,-1.000000,true,0,0.000000,true,17135,10.423333,true,106.25399780273438,0.517027,true,0.8896999955177307,0.063474,false,0,-1.000000,false,0,-1.000000,true,123,60.500000,1700,trees,unrecorded,14,,0,700,0.4206,,2750,true
40,3,false,0,-1.000000,true,126,0.650000,true,17237,10.491333,true,103.50379943847656,0.529528,true,0.8925999999046326,0.060421,false,0,-1.000000,false,0,-1.000000,true,110,54.000000,9850,trees,unrecorded,13,,0,7600,0.4433,,5500,false
