tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
15,293,20,12,0.1620,0.0199,155.3318,126.7052,205.4225,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0030,4.0006,0.0109,69.9954,0.0553,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.4486,0.0000,0.0000
16,295,20,12,0.1658,0.0199,155.2665,126.6182,211.4137,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0038,4.0013,0.0139,70.0034,0.1318,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.4140,0.0000,0.0000
17,295,20,12,0.1697,0.0199,155.2089,126.5414,216.7073,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0038,4.0013,0.0139,70.0034,0.1318,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.3834,0.0000,0.0000
18,294,20,12,0.1735,0.0199,155.1449,126.4561,237.5246,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0002,0.0038,4.0013,0.0139,70.0034,0.1320,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.3494,0.0000,0.0000
19,295,20,12,0.1774,0.0199,155.0800,126.3695,243.4187,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0039,4.0007,0.0177,70.0097,0.1709,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.3150,0.0000,0.0000
20,295,20,12,0.1819,0.0199,153.3982,126.2800,263.6372,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,4.0013,0.0206,70.0203,0.2485,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.4223,0.0000,0.0000
21,295,20,12,0.1862,0.0199,153.3286,126.1872,272.2441,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,4.0013,0.0206,70.0203,0.2485,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.3853,0.0000,0.0000
22,295,20,12,0.1905,0.0199,153.2676,126.1059,279.7086,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,4.0013,0.0206,70.0203,0.2485,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.3530,0.0000,0.0000
23,296,20,12,0.1947,0.0199,153.2126,126.0326,286.4462,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,4.0016,0.0211,70.0158,0.2598,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.3238,0.0000,0.0000
24,298,20,12,0.1984,0.0199,153.1583,125.9602,293.1521,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0049,4.0009,0.0234,70.0139,0.2736,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.2950,0.0000,0.0000
25,299,20,12,0.2020,0.0199,153.1055,125.8898,299.6099,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0052,4.0006,0.0239,70.0042,0.3204,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.2670,0.0000,0.0000
26,299,20,12,0.2057,0.0199,153.0438,125.8075,307.2006,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0052,4.0006,0.0239,70.0042,0.3204,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.2342,0.0000,0.0000
27,300,20,12,0.2093,0.0199,153.0265,125.7349,328.8960,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9998,0.0058,4.0005,0.0241,70.0124,0.3353,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0208,0.0020,0.0000,81.2250,0.0000,0.0010
