rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,false,0,-1.000000,true,137,0.492593,false,552,-0.632000,true,170.5467071533203,0.224788,true,0.894599974155426,0.058316,true,106,4.888889,false,17,-0.514286,false,0,-1.000000,8545,grazers,eaten,2,9869,0
1,2,false,0,-1.000000,true,84,0.634783,true,4980,2.320000,true,166.0614013671875,0.245175,true,0.8939999938011169,0.058947,true,47,1.611111,false,13,-0.628571,true,77,6.700000,10568,grazers,eaten,2,11814,0
1,3,false,0,-1.000000,true,87,0.744118,false,0,-1.000000,true,167.0373992919922,0.240739,true,0.904699981212616,0.047684,true,27,0.500000,false,3,-0.914286,false,0,-1.000000,7924,grazers,eaten,1,9164,0
2,1,false,0,-1.000000,true,110,0.592593,true,6176,3.117333,true,168.26539611816406,0.235157,true,0.890999972820282,0.062105,true,74,3.111111,false,8,-0.771429,true,234,22.400000,14079,grazers,eaten,6,15272,0
2,2,true,3,2.000000,true,92,0.581818,true,17404,10.602667,true,164.55279541015625,0.252033,true,0.8841999769210815,0.069263,true,52,1.888889,false,10,-0.714286,true,66,32.000000,,,,11,,0
2,3,false,0,-1.000000,true,29,0.758333,true,5776,2.850667,true,166.5218048095703,0.243083,true,0.9060999751091003,0.046211,true,27,0.500000,false,2,-0.942857,true,43,3.300000,10562,grazers,eaten,3,11823,0
3,1,true,6,5.000000,true,124,0.730435,true,16344,9.896000,true,166.4774932861328,0.243284,true,0.8899000287055969,0.063263,true,106,4.888889,false,19,-0.457143,true,193,18.300000,,,,10,,0
3,2,false,0,-1.000000,true,80,0.750000,true,6870,3.580000,true,169.1544952392578,0.231116,true,0.8838000297546387,0.069684,true,54,2.000000,false,11,-0.685714,true,150,14.000000,11373,grazers,eaten,4,12637,0
3,3,false,0,-1.000000,true,71,0.791176,true,4513,2.008667,true,167.4709014892578,0.238769,true,0.8988999724388123,0.053790,true,38,1.111111,false,8,-0.771429,true,192,18.200000,12134,grazers,eaten,4,13417,0
4,1,true,4,3.000000,true,101,0.596000,true,14513,8.675333,true,166.32769775390625,0.243965,true,0.8858000040054321,0.067579,true,77,3.277778,false,15,-0.571429,true,289,27.900000,,,,9,,0
4,2,false,0,-1.000000,true,110,0.421053,true,6767,3.511333,true,165.2738037109375,0.248755,true,0.8907999992370605,0.062316,true,57,2.166667,false,8,-0.771429,true,246,23.600000,13911,grazers,eaten,4,15234,0
4,3,false,0,-1.000000,true,0,0.000000,true,3011,1.007333,true,168.23060607910156,0.235315,true,0.9088000059127808,0.043368,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,1450,trees,unrecorded,2,9581,0
5,1,false,0,-1.000000,true,0,0.000000,true,13940,8.293333,true,166.8323974609375,0.241671,true,0.8989999890327454,0.053684,false,0,-1.000000,false,0,-1.000000,true,47,22.500000,1250,trees,unrecorded,8,,0
5,2,false,0,-1.000000,true,89,0.315385,false,0,-1.000000,true,169.4344024658203,0.229844,true,0.9057000279426575,0.046632,true,39,1.166667,false,4,-0.885714,false,0,-1.000000,7818,grazers,eaten,1,9071,0
5,3,false,0,-1.000000,true,35,0.500000,false,0,-1.000000,true,166.83380126953125,0.241665,true,0.9074000120162964,0.044842,true,22,0.222222,false,3,-0.914286,false,0,-1.000000,7416,grazers,eaten,1,8750,0
