hunter.kill_energy,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined
40,1,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,222.15220642089844,-0.009783,true,0.9003999829292297,0.052211,true,389,20.611111,true,121,2.457143,false,0,-1.000000,1764,grazers,eaten,0,3046,0,,,grazers eaten
40,1,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.5991973876953,-0.029996,true,0.902400016784668,0.050105,true,344,18.111111,true,68,0.942857,false,0,-1.000000,1700,grazers,eaten,0,2983,0,,,grazers eaten
40,1,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.55059814453125,-0.025230,true,0.9031999707221985,0.049263,true,323,16.944444,true,96,1.742857,false,0,-1.000000,1692,grazers,eaten,0,2935,0,,,grazers eaten
40,1,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,233.2794952392578,-0.060361,true,0.9023000001907349,0.050211,true,356,18.777778,true,96,1.742857,false,0,-1.000000,1426,grazers,eaten,0,2634,0,,,grazers eaten
40,1.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.49609375,-0.020437,true,0.9021000266075134,0.050421,true,330,17.333333,true,107,2.057143,false,0,-1.000000,1664,grazers,eaten,0,2833,0,,,grazers eaten
40,1.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,230.54409790039063,-0.047928,true,0.902899980545044,0.049579,true,373,19.722222,true,103,1.942857,false,0,-1.000000,1593,grazers,eaten,0,2860,0,,,grazers eaten
40,1.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.90379333496094,-0.026835,true,0.8984000086784363,0.054316,true,359,18.944444,true,93,1.657143,false,0,-1.000000,1708,grazers,eaten,0,2946,0,,,grazers eaten
40,1.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,230.84019470214844,-0.049274,true,0.9025999903678894,0.049895,true,275,14.277778,true,60,0.714286,false,0,-1.000000,1377,grazers,eaten,0,2612,0,,,grazers eaten
40,2,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,228.5554962158203,-0.038889,true,0.9017000198364258,0.050842,true,383,20.277778,true,129,2.685714,false,0,-1.000000,1751,grazers,eaten,0,3017,0,,,grazers eaten
40,2,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.09519958496094,-0.032251,true,0.9021000266075134,0.050421,true,391,20.722222,true,105,2.000000,false,0,-1.000000,1717,grazers,eaten,0,2965,0,,,grazers eaten
40,2,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,223.99020385742188,-0.018137,true,0.9025999903678894,0.049895,true,351,18.500000,true,105,2.000000,false,0,-1.000000,1686,grazers,eaten,0,2893,0,,,grazers eaten
40,2,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.3551025390625,-0.024341,true,0.9027000069618225,0.049789,true,204,10.333333,true,64,0.828571,false,0,-1.000000,1559,grazers,eaten,0,2722,0,,,grazers eaten
60,0.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.404296875,-0.029110,true,0.9021000266075134,0.050421,true,361,19.055556,true,132,2.771429,false,0,-1.000000,1923,grazers,eaten,0,3129,0,,,grazers eaten
60,0.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,223.1038055419922,-0.014108,true,0.9010000228881836,0.051579,true,354,18.666667,true,81,1.314286,false,0,-1.000000,1717,grazers,eaten,0,2966,0,,,grazers eaten
60,0.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.13800048828125,-0.027900,true,0.9027000069618225,0.049789,true,381,20.166667,true,125,2.571429,false,0,-1.000000,1782,grazers,eaten,0,3010,0,,,grazers eaten
60,0.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,228.65809631347656,-0.039355,true,0.9021999835968018,0.050316,true,356,18.777778,true,71,1.028571,false,0,-1.000000,1749,grazers,eaten,0,3065,0,,,grazers eaten
60,1,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.66220092773438,-0.025737,true,0.9023000001907349,0.050211,true,345,18.166667,true,98,1.800000,false,0,-1.000000,1883,grazers,eaten,0,3177,0,,,grazers eaten
60,1,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.31399536132813,-0.028700,true,0.9002000093460083,0.052421,true,339,17.833333,true,122,2.485714,false,0,-1.000000,1857,grazers,eaten,0,3221,0,,,grazers eaten
60,1,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.26370239257813,-0.033017,true,0.902899980545044,0.049579,true,384,20.333333,true,99,1.828571,false,0,-1.000000,1767,grazers,eaten,0,3061,0,,,grazers eaten
60,1,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.99609375,-0.022710,true,0.902899980545044,0.049579,true,244,12.555556,true,36,0.028571,false,0,-1.000000,1568,grazers,eaten,0,2883,0,,,grazers eaten
60,1.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,222.08839416503906,-0.009493,true,0.9025999903678894,0.049895,true,337,17.722222,true,96,1.742857,false,0,-1.000000,1895,grazers,eaten,0,3120,0,,,grazers eaten
60,1.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.10499572753906,-0.032295,true,0.9017000198364258,0.050842,true,364,19.222222,true,142,3.057143,false,0,-1.000000,1865,grazers,eaten,0,3069,0,,,grazers eaten
60,1.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.91189575195313,-0.026872,true,0.9032999873161316,0.049158,true,391,20.722222,true,87,1.485714,false,0,-1.000000,1837,grazers,eaten,0,3121,0,,,grazers eaten
60,1.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,228.40049743652344,-0.038184,true,0.902899980545044,0.049579,true,340,17.888889,true,74,1.114286,false,0,-1.000000,1655,grazers,eaten,0,2951,0,,,grazers eaten
60,2,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.54100036621094,-0.020641,true,0.9009000062942505,0.051684,true,327,17.166667,true,114,2.257143,false,0,-1.000000,1980,grazers,eaten,0,3250,0,,,grazers eaten
60,2,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,233.03179931640625,-0.059235,true,0.9018999934196472,0.050632,true,456,24.333333,true,138,2.942857,false,0,-1.000000,1803,grazers,eaten,0,3071,0,,,grazers eaten
60,2,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.10800170898438,-0.023218,true,0.9006999731063843,0.051895,true,412,21.888889,true,123,2.514286,false,0,-1.000000,1701,grazers,eaten,0,2936,0,,,grazers eaten
60,2,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.14230346679688,-0.023374,true,0.9004999995231628,0.052105,true,311,16.277778,true,66,0.885714,false,0,-1.000000,1728,grazers,eaten,0,3028,0,,,grazers eaten
80,0.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.11740112304688,-0.018715,true,0.9010000228881836,0.051579,true,449,23.944444,true,93,1.657143,false,0,-1.000000,1974,grazers,eaten,0,3155,0,,,grazers eaten
80,0.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,230.9821014404297,-0.049919,true,0.9021999835968018,0.050316,true,307,16.055556,true,91,1.600000,false,0,-1.000000,1891,grazers,eaten,0,3283,0,,,grazers eaten
80,0.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.70339965820313,-0.030470,true,0.9007999897003174,0.051789,true,353,18.611111,true,97,1.771429,false,0,-1.000000,1918,grazers,eaten,0,3217,0,,,grazers eaten
80,0.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.53309631347656,-0.025150,true,0.9009000062942505,0.051684,true,311,16.277778,true,65,0.857143,false,0,-1.000000,1766,grazers,eaten,0,3040,0,,,grazers eaten
80,1,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.25840759277344,-0.032993,true,0.9016000032424927,0.050947,true,358,18.888889,true,122,2.485714,false,0,-1.000000,1918,grazers,eaten,0,3182,0,,,grazers eaten
