rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,23,22.000000,true,629,0.811677,true,14282,8.521333,true,216.66470336914063,0.015160,true,0.8798999786376953,0.073789,true,510,27.333333,true,396,10.314286,true,32,15.000000,,,,9,,0
1,2,true,29,28.000000,true,597,0.794845,true,17377,10.584667,true,210.90130615234375,0.041358,true,0.8787999749183655,0.074947,true,509,27.277778,true,381,9.885714,true,41,19.500000,,,,11,,0
1,3,true,35,34.000000,true,64,0.817143,true,17338,10.558667,true,215.74789428710938,0.019328,true,0.8790000081062317,0.074737,true,493,26.388889,true,402,10.485714,true,41,19.500000,,,,9,,0
2,1,false,0,-1.000000,true,75,0.797297,false,0,-1.000000,false,223.85220336914063,-0.017510,true,0.880299985408783,0.073368,true,508,27.222222,true,383,9.942857,false,0,-1.000000,9815,grazers,eaten,1,11106,0
2,2,true,28,27.000000,true,79,0.767647,true,14797,8.864667,true,219.2570037841797,0.003377,true,0.8790000081062317,0.074737,true,494,26.444444,true,419,10.971429,true,40,19.000000,,,,10,,0
2,3,true,32,31.000000,true,67,0.796970,true,17505,10.670000,true,219.2174072265625,0.003557,true,0.879800021648407,0.073895,true,472,25.222222,true,373,9.657143,true,53,25.500000,,,,9,,0
3,1,true,16,15.000000,true,621,0.849272,true,14782,8.854667,true,215.2606964111328,0.021542,true,0.8790000081062317,0.074737,true,499,26.722222,true,433,11.371429,true,27,12.500000,,,,10,,0
3,2,true,23,22.000000,true,60,0.837838,true,12739,7.492667,true,215.36500549316406,0.021068,true,0.8794999718666077,0.074211,true,506,27.111111,true,407,10.628571,true,37,17.500000,,,,8,,0
3,3,true,33,32.000000,true,66,0.805882,true,16963,10.308667,true,216.31399536132813,0.016755,true,0.8762000203132629,0.077684,true,466,24.888889,true,399,10.400000,true,57,27.500000,,,,12,,0
4,1,true,22,21.000000,true,623,0.822000,true,16567,10.044667,true,214.98809814453125,0.022781,true,0.8817999958992004,0.071789,true,503,26.944444,true,421,11.028571,true,31,14.500000,,,,15,,0
4,2,true,21,20.000000,true,66,0.793750,true,17297,10.531333,true,218.2552032470703,0.007931,true,0.8799999952316284,0.073684,true,518,27.777778,true,395,10.285714,true,29,13.500000,,,,11,,0
4,3,false,0,-1.000000,true,70,0.800000,false,0,-1.000000,false,227.34559631347656,-0.033389,true,0.8791999816894531,0.074526,true,461,24.611111,true,412,10.771429,false,0,-1.000000,6991,grazers,eaten,1,8135,0
5,1,true,25,24.000000,true,65,0.824324,true,17261,10.507333,true,218.58340454101563,0.006439,true,0.8805000185966492,0.073158,true,487,26.055556,true,404,10.542857,true,35,16.500000,,,,11,,0
5,2,false,0,-1.000000,true,598,0.778519,true,3238,1.158667,false,226.75579833984375,-0.030708,true,0.8788999915122986,0.074842,true,473,25.277778,true,333,8.514286,false,0,-1.000000,7987,grazers,eaten,2,9213,0
5,3,false,0,-1.000000,true,71,0.791176,true,2949,0.966000,false,226.37939453125,-0.028997,true,0.8804000020027161,0.073263,true,471,25.166667,true,385,10.000000,false,0,-1.000000,9412,grazers,eaten,3,10644,0
