tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
0,300,20,12,0.1000,0.0200,127.5000,128.0000,0.0000,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.6233,0.0000,0.0000
1,300,20,12,0.1044,0.0200,127.4334,127.9112,14.7086,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.5932,0.0000,0.0000
2,300,20,12,0.1089,0.0200,127.3657,127.8210,29.6271,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.5626,0.0000,0.0000
3,300,20,12,0.1131,0.0200,127.3010,127.7347,43.8979,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.5334,0.0000,0.0000
4,300,20,12,0.1174,0.0200,127.2330,127.6440,58.8785,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.5026,0.0000,0.0000
5,302,20,12,0.1217,0.0200,128.7823,127.5595,72.8226,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0014,4.0010,0.0122,70.0004,0.0182,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.9358,0.2467,0.0000,58.2028,0.0000,0.2069
6,309,20,12,0.1259,0.0200,128.7188,127.4749,86.7864,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0048,4.0004,0.0206,69.9946,0.1866,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,58.1741,0.0000,0.0000
7,309,20,12,0.1302,0.0200,128.6546,127.3892,100.9277,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0048,4.0004,0.0206,69.9946,0.1866,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,58.1451,0.0000,0.0000
8,311,20,12,0.1346,0.0199,128.5878,127.3002,115.6141,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0052,4.0011,0.0226,70.0120,0.2877,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,58.1149,0.0000,0.0000
9,312,20,12,0.1387,0.0199,128.5231,127.2140,144.8080,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999,0.0059,4.0005,0.0242,70.0004,0.3377,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,58.0857,0.0000,0.0000
10,313,20,12,0.1432,0.0199,126.9743,127.1185,174.9876,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9998,0.0065,4.0008,0.0254,69.9998,0.4005,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,57.3857,0.0000,0.0000
11,314,20,12,0.1473,0.0199,143.8444,127.0344,195.1303,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0069,4.0010,0.0256,70.0039,0.4066,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,9.9429,2.6383,0.0000,65.0128,0.0000,2.2873
12,314,20,12,0.1516,0.0199,143.7805,126.9490,230.5540,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9998,0.0074,4.0014,0.0267,70.0107,0.4237,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,64.9839,0.0000,0.0000
