climate.rain_amp,hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,0.5,1,true,18,17.000000,true,60,0.818182,true,14422,8.614667,false,221.9553985595703,-0.008888,true,0.8815000057220459,0.072105,true,504,27.000000,true,440,11.571429,true,35,16.500000,,,,11,,0
1,0.5,2,true,26,25.000000,true,602,0.827011,true,16704,10.136000,false,220.08859252929688,-0.000403,true,0.8808000087738037,0.072842,true,509,27.277778,true,399,10.400000,true,46,22.000000,,,,13,,0
1,0.5,3,false,0,-1.000000,true,71,0.778125,true,4325,1.883333,false,230.3406982421875,-0.047003,true,0.8805999755859375,0.073053,true,503,26.944444,true,339,8.685714,false,5,-0.500000,10121,grazers,eaten,3,11364,0
2,0.1,1,false,0,-1.000000,true,625,0.831081,true,12988,7.658667,false,222.68280029296875,-0.012195,true,0.8847000002861023,0.068737,true,502,26.888889,true,422,11.057143,true,11,4.500000,16923,hunters,starved,10,16923,0
2,0.1,2,true,3,2.000000,true,608,0.818507,true,17373,10.582000,false,221.35769653320313,-0.006171,true,0.8792999982833862,0.074421,true,507,27.166667,true,373,9.657143,true,13,5.500000,,,,15,,0
2,0.1,3,false,0,-1.000000,true,593,0.808710,true,17178,10.452000,false,220.27609252929688,-0.001255,true,0.8815000057220459,0.072105,true,477,25.500000,true,348,8.942857,true,23,10.500000,18211,hunters,starved,10,18211,0
2,0.2,1,true,14,13.000000,true,628,0.827473,true,15613,9.408667,false,221.21229553222656,-0.005510,true,0.8797000050544739,0.074000,true,499,26.722222,true,423,11.085714,true,32,15.000000,,,,13,,0
2,0.2,2,true,19,18.000000,true,598,0.838814,true,16933,10.288667,false,221.94729614257813,-0.008851,true,0.8806999921798706,0.072947,true,485,25.944444,true,392,10.200000,true,23,10.500000,,,,11,,0
2,0.2,3,true,23,22.000000,true,66,0.800000,true,15997,9.664667,true,219.9678955078125,0.000146,true,0.8827000260353088,0.070842,true,486,26.000000,true,332,8.485714,true,39,18.500000,,,,13,,0
2,0.3,1,true,22,21.000000,true,621,0.830328,true,15292,9.194667,false,220.985107421875,-0.004478,true,0.8794000148773193,0.074316,true,491,26.277778,true,413,10.800000,true,32,15.000000,,,,9,,0
2,0.3,2,true,19,18.000000,true,598,0.833426,true,17308,10.538667,false,220.414306640625,-0.001883,true,0.8799999952316284,0.073684,true,486,26.000000,true,380,9.857143,true,23,10.500000,,,,13,,0
2,0.3,3,true,30,29.000000,true,62,0.793333,true,17558,10.705333,false,221.143798828125,-0.005199,true,0.8810999989509583,0.072526,true,489,26.166667,true,363,9.371429,true,44,21.000000,,,,11,,0
2,0.4,1,true,19,18.000000,true,59,0.815625,true,16319,9.879333,true,219.20660400390625,0.003606,true,0.8812000155448914,0.072421,true,520,27.888889,true,434,11.400000,true,31,14.500000,,,,10,,0
2,0.4,2,true,23,22.000000,true,609,0.831302,true,16323,9.882000,false,220.72940063476563,-0.003315,true,0.8780999779701233,0.075684,true,480,25.666667,true,396,10.314286,true,36,17.000000,,,,10,,0
2,0.4,3,true,29,28.000000,true,70,0.787879,true,14096,8.397333,false,223.9311981201172,-0.017869,true,0.8805000185966492,0.073158,true,467,24.944444,true,366,9.457143,true,47,22.500000,,,,8,,0
2,0.5,1,true,18,17.000000,true,60,0.818182,true,14422,8.614667,false,221.23880004882813,-0.005631,true,0.8815000057220459,0.072105,true,504,27.000000,true,440,11.571429,true,35,16.500000,,,,11,,0
2,0.5,2,true,26,25.000000,true,602,0.827011,true,16704,10.136000,true,219.27479553222656,0.003296,true,0.8808000087738037,0.072842,true,509,27.277778,true,399,10.400000,true,46,22.000000,,,,13,,0
2,0.5,3,false,0,-1.000000,true,71,0.778125,true,4325,1.883333,false,228.485107421875,-0.038569,true,0.8805999755859375,0.073053,true,477,25.500000,true,341,8.742857,false,4,-0.600000,10093,grazers,eaten,3,11397,0
3,0.1,1,false,0,-1.000000,true,617,0.833243,true,15376,9.250667,true,217.26980590820313,0.012410,true,0.8847000002861023,0.068737,true,498,26.666667,true,437,11.485714,true,12,5.000000,15001,hunters,starved,12,15001,0
3,0.1,2,false,0,-1.000000,true,608,0.818507,true,15632,9.421333,true,216.92970275878906,0.013956,true,0.8792999982833862,0.074421,true,499,26.722222,true,393,10.228571,true,14,6.000000,19371,hunters,starved,11,19371,0
3,0.1,3,true,2,1.000000,true,574,0.811803,true,16829,10.219333,true,215.40350341796875,0.020893,true,0.8815000057220459,0.072105,true,468,25.000000,true,336,8.600000,true,11,4.500000,,,,13,,0
3,0.2,1,true,16,15.000000,true,621,0.829396,true,16533,10.022000,true,218.31390380859375,0.007664,true,0.8797000050544739,0.074000,true,504,27.000000,true,420,11.000000,true,20,9.000000,,,,11,,0
3,0.2,2,true,17,16.000000,true,597,0.839084,true,17217,10.478000,true,217.36300659179688,0.011986,true,0.8806999921798706,0.072947,true,492,26.333333,true,392,10.200000,true,23,10.500000,,,,13,,0
3,0.2,3,true,26,25.000000,true,66,0.800000,true,16385,9.923333,true,214.5529022216797,0.024760,true,0.8827000260353088,0.070842,true,490,26.222222,true,341,8.742857,true,41,19.500000,,,,12,,0
3,0.3,1,true,19,18.000000,true,610,0.833333,true,15702,9.468000,true,217.51910400390625,0.011277,true,0.8794000148773193,0.074316,true,494,26.444444,true,416,10.885714,true,27,12.500000,,,,11,,0
3,0.3,2,true,20,19.000000,true,616,0.828412,true,15921,9.614000,true,217.2781982421875,0.012372,true,0.8799999952316284,0.073684,true,491,26.277778,true,366,9.457143,true,27,12.500000,,,,12,,0
3,0.3,3,true,28,27.000000,true,62,0.793333,true,17221,10.480667,true,216.9644012451172,0.013798,true,0.8810999989509583,0.072526,true,475,25.388889,true,356,9.171429,true,44,21.000000,,,,13,,0
