rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,19,18.000000,true,47,0.848387,true,17605,10.736667,true,196.7657928466797,0.105610,true,0.8762999773025513,0.077579,true,390,20.666667,true,130,2.714286,true,29,13.500000,,,,16,,0
1,2,true,24,23.000000,true,69,0.818421,true,16613,10.075333,true,202.33599853515625,0.080291,true,0.8720999956130981,0.082000,true,381,20.166667,true,124,2.542857,true,33,15.500000,,,,11,,0
1,3,true,28,27.000000,true,58,0.834286,true,16665,10.110000,true,206.59300231933594,0.060941,true,0.8715999722480774,0.082526,true,286,14.888889,true,66,0.885714,true,41,19.500000,,,,11,,0
2,1,true,23,22.000000,true,591,0.824629,true,17556,10.704000,true,200.37620544433594,0.089199,true,0.8758999705314636,0.078000,true,323,16.944444,true,123,2.514286,true,28,13.000000,,,,13,,0
2,2,true,22,21.000000,true,69,0.797059,true,16855,10.236667,true,202.4582977294922,0.079735,true,0.8743000030517578,0.079684,true,331,17.388889,true,86,1.457143,true,39,18.500000,,,,14,,0
2,3,true,33,32.000000,true,69,0.790909,true,16920,10.280000,true,203.9595947265625,0.072911,true,0.8711000084877014,0.083053,true,371,19.611111,true,97,1.771429,true,46,22.000000,,,,9,,0
3,1,true,21,20.000000,true,49,0.855882,true,17654,10.769333,true,199.50259399414063,0.093170,true,0.8748000264167786,0.079158,true,393,20.833333,true,82,1.342857,true,27,12.500000,,,,12,,0
3,2,true,28,27.000000,true,66,0.821622,true,16796,10.197333,true,206.88720703125,0.059604,true,0.8711000084877014,0.083053,true,283,14.722222,true,93,1.657143,true,41,19.500000,,,,12,,0
3,3,true,33,32.000000,true,60,0.823529,true,15982,9.654667,true,202.43040466308594,0.079862,true,0.8690000176429749,0.085263,true,378,20.000000,true,103,1.942857,true,48,23.000000,,,,8,,0
4,1,true,17,16.000000,true,585,0.825893,true,17280,10.520000,true,201.05859375,0.086097,true,0.8722000122070313,0.081895,true,372,19.666667,true,107,2.057143,true,34,16.000000,,,,12,,0
4,2,true,25,24.000000,true,66,0.787097,true,17875,10.916667,true,204.0113067626953,0.072676,true,0.8719000220298767,0.082211,true,375,19.833333,true,110,2.142857,true,29,13.500000,,,,13,,0
4,3,true,31,30.000000,true,72,0.775000,true,17044,10.362667,true,206.8074951171875,0.059966,true,0.8734999895095825,0.080526,true,392,20.777778,true,115,2.285714,true,39,18.500000,,,,10,,0
5,1,true,22,21.000000,true,61,0.815152,true,14622,8.748000,true,201.52920532226563,0.083958,true,0.8737999796867371,0.080211,true,374,19.777778,true,112,2.200000,true,35,16.500000,,,,11,,0
5,2,true,24,23.000000,true,562,0.796377,true,15580,9.386667,true,202.45919799804688,0.079731,true,0.8737999796867371,0.080211,true,287,14.944444,true,91,1.600000,true,43,20.500000,,,,12,,0
5,3,true,33,32.000000,true,57,0.827273,true,16585,10.056667,true,202.37210083007813,0.080127,true,0.8725000023841858,0.081579,true,322,16.888889,true,66,0.885714,true,47,22.500000,,,,12,,0
