sweep,cell,first_extinction_tick,pp_lag,pp_corr,pp_period,pp_pass,undefined
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.6_s=3,22561,,,,false,"signature: undefined, grazers extinct at tick 22561 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.6_s=42,,-4700,0.4349,8250,false,
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.8_s=1,,4700,0.4991,12750,true,
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.8_s=2,,-7000,0.4890,13850,false,
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.8_s=3,34602,,,,false,"signature: undefined, hunters extinct at tick 34602 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=0.8_s=42,25663,,,,false,"signature: undefined, hunters extinct at tick 25663 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.0_s=1,27934,,,,false,"signature: undefined, hunters extinct at tick 27934 (dominant cause: old_age) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.0_s=2,18255,,,,false,"signature: undefined, hunters extinct at tick 18255 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.0_s=3,21348,,,,false,"signature: undefined, hunters extinct at tick 21348 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.0_s=42,22869,,,,false,"signature: undefined, hunters extinct at tick 22869 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.2_s=1,19516,,,,false,"signature: undefined, hunters extinct at tick 19516 (dominant cause: old_age) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.2_s=2,17409,,,,false,"signature: undefined, hunters extinct at tick 17409 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.2_s=3,22612,,,,false,"signature: undefined, hunters extinct at tick 22612 (dominant cause: old_age) pp_pass false"
handling_x_cost,hunter.handling_ticks=150_hunter.hunt_cost=1.2_s=42,12448,,,,false,"signature: undefined, hunters extinct at tick 12448 (dominant cause: starved) pp_pass false"
current,s=1,,-4750,0.4202,8250,false,
current,s=2,,4250,0.3647,6900,false,
current,s=3,,3700,0.4280,5500,false,
current,s=42,,-5900,0.1660,8250,false,
