rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,17,16.000000,true,536,0.833022,true,17422,10.614667,false,221.2554931640625,-0.005707,true,0.8866000175476074,0.066737,true,391,20.722222,true,127,2.628571,true,30,14.000000,,,,13,,0
1,2,true,25,24.000000,true,523,0.816491,true,17489,10.659333,false,220.6844024658203,-0.003111,true,0.886900007724762,0.066421,true,402,21.333333,true,102,1.914286,true,38,18.000000,,,,14,,0
1,3,true,33,32.000000,true,65,0.808824,true,16189,9.792667,false,223.65960693359375,-0.016635,true,0.8866999745368958,0.066632,true,332,17.444444,true,127,2.628571,true,44,21.000000,,,,11,,0
2,1,true,20,19.000000,true,61,0.815152,true,14363,8.575333,false,221.8778076171875,-0.008535,true,0.8835999965667725,0.069895,true,365,19.277778,true,124,2.542857,true,32,15.000000,,,,11,,0
2,2,true,25,24.000000,true,535,0.788538,true,16291,9.860667,true,216.82090759277344,0.014450,true,0.8858000040054321,0.067579,true,312,16.333333,true,96,1.742857,true,50,24.000000,,,,11,,0
2,3,true,31,30.000000,true,60,0.812500,true,17374,10.582667,false,225.7595977783203,-0.026180,true,0.8838000297546387,0.069684,true,390,20.666667,true,81,1.314286,true,39,18.500000,,,,12,,0
3,1,true,17,16.000000,true,564,0.859701,true,17092,10.394667,false,225.11500549316406,-0.023250,true,0.8844000101089478,0.069053,true,397,21.055556,true,115,2.285714,true,26,12.000000,,,,13,,0
3,2,true,22,21.000000,true,53,0.852778,true,17188,10.458667,false,223.2534942626953,-0.014789,true,0.8851000070571899,0.068316,true,324,17.000000,true,71,1.028571,true,43,20.500000,,,,10,,0
3,3,true,32,31.000000,true,60,0.818182,true,14566,8.710667,false,223.2852020263672,-0.014933,true,0.8823999762535095,0.071158,true,386,20.444444,true,117,2.342857,true,40,19.000000,,,,15,,0
4,1,true,17,16.000000,true,546,0.836036,true,15501,9.334000,false,221.95599365234375,-0.008891,true,0.883400022983551,0.070105,true,393,20.833333,true,151,3.314286,true,26,12.000000,,,,11,,0
4,2,true,21,20.000000,true,59,0.796552,true,16439,9.959333,false,223.30259704589844,-0.015012,true,0.8824999928474426,0.071053,true,315,16.500000,true,89,1.542857,true,29,13.500000,,,,12,,0
4,3,true,34,33.000000,true,64,0.811765,true,17074,10.382667,false,222.7032012939453,-0.012287,true,0.8838000297546387,0.069684,true,260,13.444444,true,96,1.742857,true,45,21.500000,,,,11,,0
5,1,true,18,17.000000,true,63,0.809091,true,17634,10.756000,false,221.52569580078125,-0.006935,true,0.8852999806404114,0.068105,true,301,15.722222,true,98,1.800000,true,38,18.000000,,,,13,,0
5,2,false,0,-1.000000,true,542,0.802190,true,3123,1.082000,false,224.61399841308594,-0.020973,true,0.8845999836921692,0.068842,true,332,17.444444,true,104,1.971429,true,62,5.200000,10793,grazers,eaten,3,11886,0
5,3,true,31,30.000000,true,60,0.823529,true,16354,9.902667,false,227.54490661621094,-0.034295,true,0.8866000175476074,0.066737,true,322,16.888889,true,82,1.342857,true,47,22.500000,,,,12,,0
