tree.crowding_mortality,disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.01,0.004,1,true,21,20.000000,true,52,0.826667,true,17005,10.336667,true,212.648193359375,0.033417,true,0.8820000290870667,0.071579,true,386,20.444444,true,102,1.914286,true,22,10.000000,,,,15,,0
0.01,0.004,2,true,28,27.000000,true,57,0.837143,true,15995,9.663333,true,216.0792999267578,0.017821,true,0.8838000297546387,0.069684,true,384,20.333333,true,137,2.914286,true,32,15.000000,,,,13,,0
0.01,0.004,3,true,32,31.000000,true,69,0.784375,true,15302,9.201333,true,217.9770050048828,0.009195,true,0.8830000162124634,0.070526,true,302,15.777778,true,94,1.685714,true,44,21.000000,,,,9,,0
0.01,0.006,1,true,24,23.000000,true,611,0.828371,true,16684,10.122667,true,214.54510498046875,0.024795,true,0.8859000205993652,0.067474,true,304,15.888889,true,102,1.914286,true,36,17.000000,,,,10,,0
0.01,0.006,2,true,26,25.000000,true,54,0.841176,true,17300,10.533333,true,216.50680541992188,0.015878,true,0.883899986743927,0.069579,true,420,22.333333,true,108,2.085714,true,36,17.000000,,,,12,,0
0.01,0.006,3,true,29,28.000000,true,68,0.793939,true,14956,8.970667,true,216.4449005126953,0.016160,true,0.8830000162124634,0.070526,true,306,16.000000,true,86,1.457143,true,161,15.100000,,,,9,,0
0.01,0.008,1,true,21,20.000000,true,603,0.820000,true,14243,8.495333,true,218.78309631347656,0.005531,true,0.8835999965667725,0.069895,true,312,16.333333,true,120,2.428571,true,28,13.000000,,,,10,,0
0.01,0.008,2,true,31,30.000000,true,55,0.828125,true,16470,9.980000,true,219.46710205078125,0.002422,true,0.8837000131607056,0.069789,true,309,16.166667,true,79,1.257143,true,40,19.000000,,,,10,,0
0.01,0.008,3,true,28,27.000000,true,57,0.827273,true,15403,9.268667,false,221.24899291992188,-0.005677,true,0.8842999935150146,0.069158,true,275,14.277778,true,86,1.457143,true,33,15.500000,,,,7,,0
0.01,0.010,1,true,26,25.000000,true,600,0.827586,true,16363,9.908667,false,220.1313018798828,-0.000597,true,0.8838000297546387,0.069684,true,364,19.222222,true,110,2.142857,true,30,14.000000,,,,15,,0
0.01,0.010,2,true,27,26.000000,true,53,0.848571,true,16585,10.056667,true,215.92689514160156,0.018514,true,0.8862000107765198,0.067158,true,435,23.166667,true,114,2.257143,true,35,16.500000,,,,11,,0
0.01,0.010,3,true,28,27.000000,true,66,0.800000,true,17066,10.377333,true,218.718994140625,0.005823,true,0.8860999941825867,0.067263,true,354,18.666667,true,89,1.542857,true,38,18.000000,,,,10,,0
0.02,0.000,1,true,18,17.000000,true,3217,0.791375,true,14546,8.697333,true,192.9951934814453,0.122749,true,0.8730999827384949,0.080947,true,322,16.888889,true,97,1.771429,true,28,13.000000,,,,7,,0
0.02,0.000,2,true,24,23.000000,true,58,0.834286,true,16908,10.272000,true,196.09829711914063,0.108644,true,0.8676000237464905,0.086737,true,411,21.833333,true,96,1.742857,true,40,19.000000,,,,13,,0
0.02,0.000,3,true,33,32.000000,true,73,0.778788,true,15525,9.350000,true,195.1002960205078,0.113180,true,0.8705000281333923,0.083684,true,383,20.277778,true,102,1.914286,true,39,18.500000,,,,10,,0
0.02,0.002,1,true,22,21.000000,true,56,0.825000,true,16645,10.096667,true,213.9445037841797,0.027525,true,0.8831999897956848,0.070316,true,344,18.111111,true,136,2.885714,true,28,13.000000,,,,13,,0
0.02,0.002,2,true,20,19.000000,true,55,0.838235,true,17618,10.745333,true,218.79949951171875,0.005457,true,0.8816999793052673,0.071895,true,316,16.555556,true,99,1.828571,true,25,11.500000,,,,11,,0
0.02,0.002,3,true,31,30.000000,true,70,0.774194,true,14788,8.858667,true,213.9611053466797,0.027450,true,0.882099986076355,0.071474,true,340,17.888889,true,93,1.657143,true,47,22.500000,,,,9,,0
0.02,0.004,1,true,20,19.000000,true,44,0.853333,true,17014,10.342667,true,215.24679565429688,0.021605,true,0.8820000290870667,0.071579,true,356,18.777778,true,113,2.228571,true,28,13.000000,,,,14,,0
0.02,0.004,2,true,26,25.000000,true,535,0.852617,true,16516,10.010667,true,215.1490020751953,0.022050,true,0.8838000297546387,0.069684,true,419,22.277778,true,104,1.971429,true,31,14.500000,,,,15,,0
0.02,0.004,3,true,30,29.000000,true,71,0.778125,true,15366,9.244000,true,216.40139770507813,0.016357,true,0.8830000162124634,0.070526,true,259,13.388889,true,99,1.828571,true,42,20.000000,,,,12,,0
0.02,0.006,1,true,24,23.000000,true,581,0.842547,true,15817,9.544667,true,217.0395050048828,0.013457,true,0.8860999941825867,0.067263,true,352,18.555556,true,116,2.314286,true,26,12.000000,,,,11,,0
0.02,0.006,2,true,24,23.000000,true,53,0.844118,true,16883,10.255333,false,224.16110229492188,-0.018914,true,0.883899986743927,0.069579,true,266,13.777778,true,82,1.342857,true,26,12.000000,,,,14,,0
0.02,0.006,3,true,29,28.000000,true,62,0.812121,true,15163,9.108667,true,217.37049865722656,0.011952,true,0.8830000162124634,0.070526,true,382,20.222222,true,83,1.371429,true,187,17.700000,,,,8,,0
0.02,0.008,1,true,19,18.000000,true,53,0.834375,true,16166,9.777333,false,225.56759643554688,-0.025307,true,0.8835999965667725,0.069895,true,354,18.666667,true,136,2.885714,true,38,18.000000,,,,16,,0
0.02,0.008,2,true,22,21.000000,true,52,0.837500,true,15524,9.349333,false,221.70159912109375,-0.007735,true,0.8837000131607056,0.069789,true,376,19.888889,true,109,2.114286,true,36,17.000000,,,,16,,0
0.02,0.008,3,false,0,-1.000000,true,72,0.781818,true,4121,1.747333,false,222.51060485839844,-0.011412,true,0.8842999935150146,0.069158,true,362,19.111111,true,84,1.400000,false,0,-1.000000,9805,grazers,eaten,3,10751,0
0.02,0.010,1,true,19,18.000000,true,54,0.841176,true,16607,10.071333,false,221.48519897460938,-0.006751,true,0.8838000297546387,0.069684,true,392,20.777778,true,125,2.571429,true,30,14.000000,,,,14,,0
0.02,0.010,2,true,24,23.000000,true,52,0.851429,true,16034,9.689333,false,220.41769409179688,-0.001899,true,0.8855999708175659,0.067790,true,354,18.666667,true,127,2.628571,true,32,15.000000,,,,11,,0
0.02,0.010,3,true,31,30.000000,true,68,0.793939,true,16631,10.087333,true,215.02780151367188,0.022601,true,0.8860999941825867,0.067263,true,386,20.444444,true,93,1.657143,true,43,20.500000,,,,12,,0
0.03,0.000,1,true,20,19.000000,true,3234,0.790272,true,14939,8.959333,true,190.0946044921875,0.135934,true,0.8730999827384949,0.080947,true,404,21.444444,true,128,2.657143,true,34,16.000000,,,,8,,0
0.03,0.000,2,true,23,22.000000,true,2663,0.838704,true,15344,9.229333,true,194.2198028564453,0.117183,true,0.8676000237464905,0.086737,true,360,19.000000,true,88,1.514286,true,24,11.000000,,,,8,,0
0.03,0.000,3,true,33,32.000000,true,70,0.787879,true,16261,9.840667,true,203.0030059814453,0.077259,true,0.8705000281333923,0.083684,true,298,15.555556,true,87,1.485714,true,39,18.500000,,,,9,,0
0.03,0.002,1,true,16,15.000000,true,56,0.825000,true,17653,10.768667,true,212.47390747070313,0.034210,true,0.8831999897956848,0.070316,true,365,19.277778,true,103,1.942857,true,30,14.000000,,,,13,,0
0.03,0.002,2,true,25,24.000000,true,59,0.826471,true,17784,10.856000,true,216.12770080566406,0.017601,true,0.8816999793052673,0.071895,true,359,18.944444,true,112,2.200000,true,31,14.500000,,,,13,,0
0.03,0.002,3,true,31,30.000000,true,68,0.780645,true,15271,9.180667,true,213.36270141601563,0.030170,true,0.882099986076355,0.071474,true,337,17.722222,true,92,1.628571,true,48,23.000000,,,,11,,0
0.03,0.004,1,true,20,19.000000,true,58,0.806667,true,16720,10.146667,true,217.74119567871094,0.010267,true,0.8820000290870667,0.071579,true,341,17.944444,true,110,2.142857,true,21,9.500000,,,,11,,0
0.03,0.004,2,true,27,26.000000,true,52,0.851429,true,15425,9.283333,false,221.6840057373047,-0.007655,true,0.8838000297546387,0.069684,true,352,18.555556,true,139,2.971429,true,33,15.500000,,,,13,,0
0.03,0.004,3,true,30,29.000000,true,66,0.793750,true,14918,8.945333,true,219.62710571289063,0.001695,true,0.8830000162124634,0.070526,true,319,16.722222,true,80,1.285714,true,231,22.100000,,,,8,,0
0.03,0.006,1,true,20,19.000000,true,60,0.823529,true,15026,9.017333,false,220.35789489746094,-0.001627,true,0.8860999941825867,0.067263,true,370,19.555556,true,129,2.685714,true,26,12.000000,,,,12,,0
0.03,0.006,2,true,27,26.000000,true,52,0.847059,true,17696,10.797333,false,220.00950622558594,-0.000043,true,0.883899986743927,0.069579,true,395,20.944444,true,118,2.371429,true,34,16.000000,,,,12,,0
