tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm,soil_n,soil_p,soil_k,leached_n,outflow_p,waterlogged_frac
13,292,20,12,0.1363,0.0200,144.5214,173.0999,193.8141,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.7106,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
14,292,20,12,0.1388,0.0199,144.4822,173.0999,198.6794,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6898,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
15,292,20,12,0.1413,0.0199,144.4440,173.0999,203.3665,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6695,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
16,293,20,12,0.1439,0.0199,144.3994,173.0999,208.8276,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,3.9998,0.0025,70.0049,0.1347,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6458,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
17,295,20,12,0.1465,0.0199,144.3599,173.0999,213.6472,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0040,3.9991,0.0091,70.0071,0.2219,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6249,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
18,298,20,12,0.1492,0.0199,144.3161,173.0999,218.9380,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0041,3.9992,0.0143,70.0044,0.2874,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6016,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
19,299,20,12,0.1518,0.0199,144.2716,173.0999,224.3063,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0050,3.9992,0.0143,70.0050,0.2871,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.5780,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
20,300,20,12,0.1549,0.0199,151.6058,171.0631,229.8615,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0051,3.9993,0.0144,69.9971,0.3174,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,4.5033,0.4430,0.0000,80.4709,0.0292,0.2210,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
21,300,20,12,0.1578,0.0199,151.5579,171.0631,252.2942,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0002,0.0052,3.9997,0.0157,69.9919,0.3301,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,80.4455,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
22,300,20,12,0.1607,0.0199,151.5160,171.0631,258.7393,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0052,3.9997,0.0157,69.9919,0.3301,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,80.4232,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
23,300,20,12,0.1636,0.0199,151.4781,171.0631,264.5411,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0052,3.9997,0.0157,69.9919,0.3301,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,80.4031,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
24,302,20,12,0.1661,0.0199,151.4408,171.0631,270.3358,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0055,3.9996,0.0165,69.9984,0.3638,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,80.3833,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
25,303,20,12,0.1686,0.0199,151.4045,171.0631,275.9190,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0056,4.0000,0.0180,70.0051,0.3815,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,80.3641,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0000,0.0000
26,303,20,12,0.1711,0.0199,176.6195,171.0631,282.4679,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0056,4.0000,0.0180,70.0051,0.3815,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,14.4340,1.5650,0.0000,94.0261,0.0000,0.7494,1.4266,51.1900,38.2978,0.0003,0.0002,0.0000
27,303,20,12,0.1736,0.0199,176.5824,171.0631,288.2443,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0056,4.0000,0.0180,70.0051,0.3815,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,94.0062,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0002,0.0000
28,303,20,12,0.1760,0.0199,176.5411,171.0631,309.5909,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0001,0.0060,4.0002,0.0184,70.0048,0.3816,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.9841,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0002,0.0000
29,304,20,12,0.1785,0.0199,176.4989,171.0631,316.0263,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0190,70.0022,0.3836,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.9616,0.0000,0.0000,1.4266,51.1900,38.2978,0.0003,0.0002,0.0000
30,302,20,12,0.1815,0.0199,175.7838,169.0468,352.6371,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0191,70.0022,0.3848,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.3044,0.2773,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
31,302,20,12,0.1842,0.0199,175.7382,169.0468,361.2000,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0191,70.0022,0.3848,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.2802,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
32,302,20,12,0.1870,0.0199,175.6983,169.0468,368.6666,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0191,70.0022,0.3848,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.2590,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
33,302,20,12,0.1898,0.0199,175.6623,169.0468,375.3930,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0191,70.0022,0.3848,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.2399,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
34,302,20,12,0.1921,0.0199,175.6269,169.0468,382.0970,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0063,4.0005,0.0191,70.0022,0.3848,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.2211,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
35,303,20,12,0.1945,0.0199,175.5924,169.0468,388.5325,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0064,4.0010,0.0209,70.0062,0.3904,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.2028,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
36,303,20,12,0.1968,0.0199,175.5520,169.0468,396.1158,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0064,4.0010,0.0209,70.0062,0.3904,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.1814,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
37,304,20,12,0.1992,0.0198,175.5164,169.0468,402.7850,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0065,4.0011,0.0209,70.0057,0.3899,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.1624,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
38,304,20,12,0.2016,0.0198,175.4767,169.0468,410.1414,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0065,4.0011,0.0209,70.0057,0.3899,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.1414,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
39,304,20,12,0.2040,0.0198,175.4364,169.0468,417.5973,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0065,4.0011,0.0209,70.0057,0.3899,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,93.1200,0.0000,0.0000,1.3772,51.1854,38.2504,0.0023,0.0002,0.0000
40,304,20,12,0.2068,0.0198,174.6850,167.1797,425.2456,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0065,4.0011,0.0209,70.0057,0.3899,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.7211,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
41,305,20,12,0.2094,0.0198,174.6416,167.1797,449.8979,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0003,0.0070,4.0018,0.0230,70.0203,0.4319,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6981,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
42,305,20,12,0.2120,0.0198,174.6036,167.1797,458.3321,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0070,4.0018,0.0230,70.0203,0.4319,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6779,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
43,306,20,12,0.2147,0.0198,174.5694,167.1797,465.9348,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0072,4.0017,0.0230,70.0184,0.4325,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6598,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
44,306,20,12,0.2169,0.0198,174.5357,167.1797,473.5073,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0072,4.0017,0.0230,70.0184,0.4325,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6419,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
45,308,20,12,0.2192,0.0198,174.5028,167.1797,480.7585,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0074,4.0021,0.0235,70.0035,0.4684,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6244,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
46,308,20,12,0.2215,0.0198,174.4644,167.1797,489.3312,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0074,4.0021,0.0235,70.0035,0.4684,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.6040,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
47,308,20,12,0.2238,0.0198,174.4304,167.1797,496.8614,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0074,4.0021,0.0235,70.0035,0.4684,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.5860,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
48,310,20,12,0.2261,0.0198,174.3927,167.1797,505.1769,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0075,4.0023,0.0244,70.0076,0.4845,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.5660,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
49,311,20,12,0.2284,0.0198,174.3543,167.1797,513.5997,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0079,4.0022,0.0244,70.0151,0.5014,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.5456,0.0000,0.0000,1.3331,51.1813,38.2073,0.0000,0.0002,0.0000
50,314,20,12,0.2310,0.0198,173.5429,165.2654,522.2336,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0083,4.0018,0.0263,70.0319,0.5632,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.1149,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
51,313,20,12,0.2335,0.0198,173.5015,165.2654,547.9403,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0001,0.0083,4.0018,0.0264,70.0320,0.5641,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.0930,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
52,314,20,12,0.2360,0.0198,173.4654,165.2654,557.2895,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0084,4.0018,0.0263,70.0226,0.5873,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.0738,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
53,315,20,12,0.2385,0.0198,173.4328,165.2654,565.7242,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0087,4.0020,0.0266,70.0152,0.6009,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.0565,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
54,314,20,12,0.2406,0.0198,173.4007,165.2654,589.0981,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999,0.0087,4.0020,0.0266,70.0153,0.6019,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.0395,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
55,314,20,12,0.2428,0.0198,173.3695,165.2654,597.1564,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0087,4.0020,0.0266,70.0153,0.6019,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,92.0229,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0002,0.0000
56,314,20,12,0.2450,0.0198,188.1705,165.2654,606.6671,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0087,4.0020,0.0266,70.0153,0.6019,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,8.7486,0.9090,0.0000,100.3084,0.0000,0.4437,1.2901,51.1772,38.1652,0.0000,0.0001,0.0000
57,312,20,12,0.2471,0.0198,188.1387,165.2654,645.0047,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,0.9999,0.0088,4.0021,0.0267,70.0154,0.6038,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.2912,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0001,0.0000
58,312,20,12,0.2493,0.0198,188.1031,165.2654,654.2269,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0088,4.0021,0.0267,70.0154,0.6038,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.2722,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0001,0.0000
59,313,20,12,0.2514,0.0198,188.0667,165.2654,663.5811,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0091,4.0023,0.0269,70.0066,0.6221,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.2528,0.0000,0.0000,1.2901,51.1772,38.1652,0.0000,0.0001,0.0000
60,313,20,12,0.2539,0.0198,187.2496,163.3597,673.1130,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0091,4.0023,0.0269,70.0066,0.6221,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.3903,0.4284,0.0000,1.2498,51.1735,38.1242,0.0029,0.0001,0.0000
61,315,20,12,0.2564,0.0198,187.2102,163.3597,684.8054,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0091,4.0024,0.0279,70.0120,0.6562,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.3694,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0001,0.0000
62,315,20,12,0.2587,0.0198,187.1758,163.3597,695.0330,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0091,4.0024,0.0279,70.0120,0.6562,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.3511,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0001,0.0000
63,315,20,12,0.2611,0.0197,187.1448,163.3597,704.2316,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0091,4.0024,0.0279,70.0120,0.6562,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.3346,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0001,0.0000
64,316,20,12,0.2631,0.0197,187.1143,163.3597,713.3821,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0092,4.0022,0.0281,70.0031,0.6740,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.3185,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0001,0.0000
65,315,20,12,0.2652,0.0197,189.6520,163.3597,737.1901,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0001,0.0092,4.0022,0.0281,70.0031,0.6751,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,1.5182,0.1483,0.0000,100.7463,0.0000,0.0745,1.2498,51.1735,38.1242,0.0029,0.0000,0.0000
66,314,20,12,0.2672,0.0197,189.6179,163.3597,762.5906,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0001,0.0092,4.0022,0.0282,70.0031,0.6761,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.7278,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0000,0.0000
