tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm,soil_n,soil_p,soil_k,leached_n,outflow_p,waterlogged_frac
67,314,20,12,0.2692,0.0197,189.5876,163.3597,786.7033,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0003,0.0095,4.0019,0.0289,70.0142,0.7042,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.7115,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0000,0.0000
68,317,20,12,0.2713,0.0197,189.5537,163.3597,811.7990,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0003,0.0100,4.0015,0.0316,70.0332,0.7567,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.6933,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0000,0.0000
69,317,20,12,0.2733,0.0197,189.5190,163.3597,822.0269,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0100,4.0015,0.0316,70.0332,0.7567,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.6749,0.0000,0.0000,1.2498,51.1735,38.1242,0.0029,0.0000,0.0000
70,317,20,12,0.2757,0.0197,188.6712,161.6563,832.4087,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0100,4.0015,0.0316,70.0332,0.7567,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.1449,0.0796,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
71,319,20,12,0.2780,0.0197,188.6336,161.6563,845.0560,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0100,4.0024,0.0334,70.0181,0.7825,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.1249,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
72,321,20,12,0.2802,0.0197,188.6008,161.6563,856.1153,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0101,4.0030,0.0342,70.0236,0.8056,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.1075,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
73,323,20,12,0.2824,0.0197,188.5712,161.6563,866.0570,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0103,4.0035,0.0349,70.0256,0.8051,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0918,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
74,325,20,12,0.2843,0.0197,188.5421,161.6563,875.9454,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0103,4.0032,0.0350,70.0199,0.8080,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0764,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
75,326,20,12,0.2862,0.0197,188.5137,161.6563,885.4502,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0104,4.0033,0.0350,70.0285,0.8217,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0613,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
76,327,20,12,0.2881,0.0197,188.4805,161.6563,896.6805,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0104,4.0037,0.0355,70.0321,0.8229,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0437,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
77,328,20,12,0.2901,0.0197,190.5596,161.6563,906.5335,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0104,4.0036,0.0355,70.0307,0.8221,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,1.2536,0.1224,0.0000,101.2201,0.0000,0.0615,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
78,329,20,12,0.2920,0.0197,190.5273,161.6563,917.4213,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0106,4.0040,0.0360,70.0370,0.8287,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.2027,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
79,331,20,12,0.2939,0.0197,190.4943,161.6563,928.4775,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0108,4.0033,0.0370,70.0435,0.8463,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.1852,0.0000,0.0000,1.2146,51.1701,38.0877,0.0004,0.0000,0.0000
80,332,20,12,0.2961,0.0197,189.6179,160.0146,939.6708,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0107,4.0034,0.0369,70.0372,0.8527,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.6474,0.0721,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
81,332,20,12,0.2983,0.0197,189.5821,160.0146,953.2005,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0107,4.0034,0.0369,70.0372,0.8527,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.6283,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
82,333,20,12,0.3004,0.0197,189.5507,160.0146,980.0228,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0004,0.0109,4.0022,0.0398,70.0403,0.8771,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.6117,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
83,334,20,12,0.3025,0.0197,189.5225,160.0146,990.6763,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0111,4.0028,0.0411,70.0311,0.8916,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5967,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
84,336,20,12,0.3043,0.0197,189.4947,160.0146,1001.2408,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0110,4.0023,0.0422,70.0397,0.8958,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5820,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
85,337,20,12,0.3061,0.0197,189.4676,160.0146,1011.4218,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0114,4.0017,0.0434,70.0499,0.9137,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5676,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
86,338,20,12,0.3079,0.0196,189.4359,160.0146,1023.4412,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0115,4.0018,0.0434,70.0408,0.9274,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5508,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
87,338,20,12,0.3097,0.0196,189.4078,160.0146,1034.0081,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0115,4.0018,0.0434,70.0408,0.9274,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5359,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
88,338,20,12,0.3116,0.0196,189.3766,160.0146,1045.6477,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0115,4.0018,0.0434,70.0408,0.9274,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5193,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
89,338,20,12,0.3134,0.0196,189.3449,160.0146,1057.4636,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0115,4.0018,0.0434,70.0408,0.9274,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.5025,0.0000,0.0000,1.1818,51.1669,38.0532,0.0004,0.0000,0.0000
90,339,20,12,0.3155,0.0196,188.4401,158.4540,1069.4241,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0117,4.0013,0.0445,70.0443,0.9282,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0222,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
91,340,20,12,0.3176,0.0196,188.4059,158.4540,1083.8020,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0116,4.0012,0.0444,70.0510,0.9350,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,100.0040,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
92,341,20,12,0.3196,0.0196,188.3759,158.4540,1096.3617,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0117,4.0014,0.0444,70.0608,0.9509,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.9882,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
93,341,20,12,0.3216,0.0196,188.3490,158.4540,1107.6934,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0117,4.0014,0.0444,70.0608,0.9509,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.9738,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
94,342,20,12,0.3234,0.0196,188.3224,158.4540,1118.8973,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0117,4.0016,0.0445,70.0611,0.9495,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,99.9597,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
95,343,20,12,0.3251,0.0196,191.8541,158.4540,1129.7072,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0117,4.0015,0.0445,70.0601,0.9483,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,2.1125,0.2066,0.0000,101.9548,0.0000,0.1037,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
96,345,20,12,0.3269,0.0196,191.8245,158.4540,1142.4941,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0120,4.0017,0.0445,70.0556,0.9655,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.9387,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
97,345,20,12,0.3286,0.0196,191.7983,158.4540,1153.7355,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0120,4.0017,0.0445,70.0556,0.9655,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.9245,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
98,346,20,12,0.3303,0.0196,191.7688,158.4540,1166.1171,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0122,4.0019,0.0447,70.0615,0.9704,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.9087,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
99,346,20,12,0.3321,0.0196,191.7387,158.4540,1178.6815,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0122,4.0019,0.0447,70.0615,0.9704,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.8926,0.0000,0.0000,1.1514,51.1638,38.0210,0.0000,0.0000,0.0000
100,346,20,12,0.3342,0.0196,190.7828,156.7006,1191.3635,14.3377,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0122,4.0019,0.0447,70.0615,0.9704,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,101.2657,0.1189,0.0000,1.1214,51.1608,37.9884,0.0005,0.0000,0.0000
