tick,kind,species,patch_x,patch_y,x,y,cause,detail
872,birth,grazer,29,24,239,198,,2367
872,birth,grazer,22,30,177,246,,2368
872,birth,grazer,11,16,95,131,,2369
872,birth,grazer,24,30,193,245,,2370
872,birth,grazer,12,17,96,142,,2371
872,birth,grazer,21,30,174,247,,2372
872,birth,grazer,11,16,95,130,,2373
874,birth,grazer,2,8,20,64,,2374
874,birth,grazer,2,7,19,57,,2375
874,birth,grazer,3,2,24,21,,2376
875,birth,grazer,14,27,112,219,,2377
876,birth,grazer,11,13,95,104,,2378
877,birth,grazer,3,5,27,47,,2379
877,birth,grazer,12,23,102,189,,2380
877,birth,grazer,15,8,120,69,,2381
877,birth,grazer,2,5,20,45,,2382
878,birth,grazer,12,12,99,98,,2383
878,birth,grazer,5,6,42,48,,2384
878,birth,grazer,0,10,0,83,,2385
878,birth,grazer,0,12,0,103,,2386
878,birth,grazer,13,26,109,212,,2387
878,birth,grazer,0,10,0,82,,2388
878,birth,grazer,0,7,0,58,,2389
879,birth,grazer,2,4,19,33,,2390
879,birth,grazer,12,25,97,207,,2391
880,birth,grazer,14,24,114,192,,2392
883,birth,grazer,27,24,217,194,,2393
883,birth,grazer,28,17,231,136,,2394
883,birth,grazer,27,17,218,141,,2395
883,birth,grazer,3,3,30,27,,2396
883,birth,grazer,26,17,208,137,,2397
883,birth,grazer,26,19,209,152,,2398
883,birth,grazer,28,17,225,137,,2399
884,birth,grazer,30,16,246,133,,2400
884,birth,grazer,29,22,234,182,,2401
884,birth,grazer,25,10,201,82,,2402
884,birth,grazer,14,8,112,70,,2403
884,birth,grazer,30,24,243,196,,2404
885,birth,grazer,30,25,245,204,,2405
885,birth,grazer,29,16,239,132,,2406
885,birth,grazer,29,24,235,195,,2407
886,birth,grazer,25,12,202,96,,2408
886,birth,grazer,27,21,220,175,,2409
886,birth,grazer,24,20,198,164,,2410
886,birth,grazer,29,9,232,76,,2411
886,birth,grazer,28,20,228,161,,2412
887,birth,grazer,21,7,173,57,,2413
887,birth,grazer,25,8,200,71,,2414
887,birth,grazer,18,5,151,42,,2415
889,birth,grazer,26,7,209,62,,2416
889,birth,grazer,12,20,97,165,,2417
889,birth,grazer,24,9,198,79,,2418
889,birth,grazer,25,22,203,178,,2419
889,birth,grazer,24,10,196,85,,2420
889,birth,grazer,11,20,95,167,,2421
889,birth,grazer,23,5,188,42,,2422
890,birth,grazer,22,4,183,38,,2423
890,birth,grazer,28,12,227,99,,2424
890,birth,grazer,28,3,225,24,,2425
890,birth,grazer,20,4,162,38,,2426
890,birth,grazer,2,18,20,150,,2427
890,birth,grazer,31,16,253,131,,2428
890,birth,grazer,21,5,169,43,,2429
890,birth,grazer,5,19,45,153,,2430
890,birth,grazer,30,13,245,111,,2431
890,birth,grazer,10,13,83,108,,2432
890,birth,grazer,22,4,182,39,,2433
890,birth,grazer,26,18,210,144,,2434
890,birth,grazer,6,21,48,171,,2435
890,birth,grazer,6,5,50,43,,2436
890,birth,grazer,25,5,201,41,,2437
891,birth,grazer,28,15,226,124,,2438
891,birth,grazer,19,19,158,153,,2439
891,birth,grazer,12,22,97,176,,2440
891,birth,grazer,21,7,169,58,,2441
891,birth,grazer,21,19,168,152,,2442
891,birth,grazer,30,11,246,93,,2443
891,birth,grazer,21,17,169,143,,2444
891,death,grazer,18,13,150,104,eaten,1011
892,birth,grazer,10,15,84,126,,2445
892,birth,grazer,4,11,38,88,,2446
892,birth,grazer,22,22,183,180,,2447
892,birth,grazer,23,14,189,112,,2448
892,birth,grazer,3,3,26,29,,2449
892,birth,grazer,6,14,54,118,,2450
892,birth,grazer,23,20,184,162,,2451
892,birth,grazer,24,13,199,111,,2452
892,birth,grazer,13,21,105,175,,2453
892,birth,grazer,5,12,42,96,,2454
892,birth,grazer,3,10,31,80,,2455
892,birth,grazer,23,21,189,175,,2456
893,birth,grazer,6,24,49,197,,2457
893,birth,grazer,24,8,199,66,,2458
893,birth,grazer,6,23,51,190,,2459
893,birth,grazer,4,25,38,203,,2460
893,birth,grazer,6,25,55,205,,2461
