tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
0,300,20,12,0.1000,0.0200,127.5000,128.0000,0.0000,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.8172,0.0000,0.0000
1,300,20,12,0.1040,0.0200,127.4349,127.9132,13.6641,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.7892,0.0000,0.0000
2,300,20,12,0.1083,0.0200,127.3715,127.8286,26.9803,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.7619,0.0000,0.0000
3,300,20,12,0.1125,0.0200,127.3016,127.7355,41.6275,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.7319,0.0000,0.0000
4,301,20,12,0.1169,0.0200,127.2276,127.6368,57.1304,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0009,3.9994,0.0102,69.9911,0.1534,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.7001,0.0000,0.0000
5,302,20,12,0.1215,0.0200,127.1534,127.5379,72.6712,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0010,3.9994,0.0102,69.9926,0.1551,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.6682,0.0000,0.0000
6,304,20,12,0.1259,0.0200,127.0833,127.4444,102.3406,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0035,3.9995,0.0121,69.9717,0.2611,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.6380,0.0000,0.0000
7,303,20,12,0.1304,0.0199,127.0169,127.3558,131.2251,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0035,3.9995,0.0121,69.9716,0.2615,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.6095,0.0000,0.0000
8,305,20,12,0.1348,0.0199,126.9583,127.2777,143.4783,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0040,3.9990,0.0161,69.9866,0.3211,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.5843,0.0000,0.0000
9,304,20,12,0.1390,0.0199,126.9005,127.2007,170.5508,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0002,0.0040,3.9990,0.0161,69.9865,0.3216,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,54.5595,0.0000,0.0000
10,305,20,12,0.1432,0.0199,125.3619,127.1185,182.8615,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0042,3.9995,0.0182,69.9757,0.3727,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.8979,0.0000,0.0000
11,306,20,12,0.1470,0.0199,125.3002,127.0363,201.5383,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0047,3.9996,0.0184,69.9847,0.4042,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.8714,0.0000,0.0000
12,307,20,12,0.1510,0.0199,125.2401,126.9562,219.7477,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0053,3.9990,0.0209,69.9898,0.4132,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.8456,0.0000,0.0000
13,308,20,12,0.1550,0.0199,125.1740,126.8680,239.8444,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0053,3.9987,0.0217,69.9939,0.4186,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.8172,0.0000,0.0000
14,309,20,12,0.1592,0.0199,125.1039,126.7746,261.0908,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0056,3.9990,0.0222,69.9927,0.4184,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.7870,0.0000,0.0000
15,309,20,12,0.1636,0.0199,125.0337,126.6809,282.4443,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0056,3.9990,0.0222,69.9927,0.4184,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.7568,0.0000,0.0000
16,310,20,12,0.1679,0.0199,124.9673,126.5924,302.5978,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0057,3.9987,0.0227,69.9888,0.4233,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.7283,0.0000,0.0000
17,313,20,12,0.1721,0.0199,124.9044,126.5086,321.6710,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0059,3.9989,0.0244,69.9922,0.4570,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.7013,0.0000,0.0000
18,314,20,12,0.1764,0.0199,124.8490,126.4346,338.5378,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0061,3.9988,0.0246,69.9994,0.4736,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.6774,0.0000,0.0000
19,315,20,12,0.1804,0.0199,124.7943,126.3618,355.1661,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0061,3.9983,0.0258,69.9970,0.4747,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,53.6539,0.0000,0.0000
20,316,20,12,0.1845,0.0199,123.1118,126.2841,371.7748,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0064,3.9981,0.0260,69.9973,0.4740,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.9305,0.0000,0.0000
21,317,20,12,0.1881,0.0198,123.0535,126.2063,395.3099,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0065,3.9978,0.0265,70.0050,0.4929,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.9055,0.0000,0.0000
22,319,20,12,0.1920,0.0198,122.9966,126.1305,433.2838,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9979,0.0292,69.9981,0.5339,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.8810,0.0000,0.0000
23,320,20,12,0.1958,0.0198,122.9341,126.0471,458.6073,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9984,0.0302,69.9922,0.5432,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.8541,0.0000,0.0000
24,319,20,12,0.1998,0.0198,122.8678,125.9587,500.4045,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9983,0.0302,69.9922,0.5440,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.8256,0.0000,0.0000
25,320,20,12,0.2040,0.0198,122.8013,125.8702,527.3413,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9979,0.0313,69.9857,0.5554,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.7971,0.0000,0.0000
26,320,20,12,0.2080,0.0198,122.7385,125.7864,552.7449,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9979,0.0313,69.9857,0.5554,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.7701,0.0000,0.0000
27,320,20,12,0.2120,0.0198,122.6791,125.7071,576.8052,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0073,3.9979,0.0313,69.9857,0.5554,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.7445,0.0000,0.0000
28,322,20,12,0.2160,0.0198,122.6266,125.6372,598.0679,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0078,3.9974,0.0324,69.9721,0.5829,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.7220,0.0000,0.0000
29,324,20,12,0.2198,0.0198,122.5750,125.5683,619.0470,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0080,3.9969,0.0340,69.9810,0.6137,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,52.6997,0.0000,0.0000
30,323,20,12,0.2237,0.0198,120.7557,125.4949,654.4814,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0080,3.9969,0.0340,69.9810,0.6146,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.9176,0.0000,0.0000
31,323,20,12,0.2272,0.0198,120.7005,125.4213,682.5844,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0080,3.9969,0.0340,69.9810,0.6146,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.8938,0.0000,0.0000
32,324,20,12,0.2308,0.0198,120.6467,125.3495,710.0724,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0081,3.9964,0.0350,69.9757,0.6210,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.8707,0.0000,0.0000
33,324,20,12,0.2344,0.0198,120.5876,125.2707,740.3461,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0081,3.9964,0.0350,69.9757,0.6210,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.8453,0.0000,0.0000
34,324,20,12,0.2382,0.0198,120.5248,125.1870,772.3823,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0081,3.9964,0.0350,69.9757,0.6210,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.8183,0.0000,0.0000
35,326,20,12,0.2422,0.0197,120.4620,125.1033,804.5954,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0084,3.9963,0.0357,69.9751,0.6341,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.7913,0.0000,0.0000
36,326,20,12,0.2460,0.0197,120.4026,125.0241,834.9752,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0084,3.9963,0.0357,69.9751,0.6341,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.7658,0.0000,0.0000
37,327,20,12,0.2498,0.0197,120.3464,124.9491,863.7595,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0086,3.9958,0.0371,69.9724,0.6351,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.7416,0.0000,0.0000
38,330,20,12,0.2536,0.0197,120.2968,124.8830,889.1827,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0089,3.9953,0.0381,69.9873,0.6655,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,51.7203,0.0000,0.0000
