rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,false,0,-1.000000,true,194,0.659649,true,4629,2.086000,true,188.022705078125,0.145351,true,0.8748999834060669,0.079053,true,118,5.555556,false,24,-0.314286,true,224,21.400000,12793,grazers,eaten,4,14036,0
1,2,false,0,-1.000000,true,120,0.657143,false,0,-1.000000,true,188.7801055908203,0.141909,true,0.8809000253677368,0.072737,true,55,2.055556,false,12,-0.657143,false,0,-1.000000,9702,grazers,eaten,1,11008,0
1,3,false,0,-1.000000,true,84,0.760000,true,2387,0.591333,true,185.9886016845703,0.154597,true,0.902999997138977,0.049474,true,43,1.388889,false,3,-0.914286,false,0,-1.000000,9618,grazers,eaten,3,10912,0
2,1,true,10,9.000000,true,188,0.742466,true,16729,10.152667,true,183.80960083007813,0.164502,true,0.8819000124931335,0.071684,true,131,6.277778,false,20,-0.428571,true,54,26.000000,,,,11,,0
2,2,true,4,3.000000,true,147,0.623077,true,15536,9.357333,true,178.3094940185547,0.189502,true,0.8845000267028809,0.068947,true,79,3.388889,false,15,-0.571429,true,59,28.500000,,,,10,,0
2,3,false,0,-1.000000,true,0,0.000000,false,1027,-0.315333,true,187.62869262695313,0.147142,true,0.9089999794960022,0.043158,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,1500,trees,unrecorded,3,8557,0
3,1,true,14,13.000000,true,177,0.786747,true,16556,10.037333,true,184.74400329589844,0.160255,true,0.8744999766349792,0.079474,true,109,5.055556,false,28,-0.200000,true,53,25.500000,,,,11,,0
3,2,false,0,-1.000000,true,136,0.642105,true,8866,4.910667,true,190.46560668945313,0.134247,true,0.8866999745368958,0.066632,true,71,2.944444,false,17,-0.514286,true,244,23.400000,13358,grazers,eaten,9,14688,0
3,3,false,0,-1.000000,true,72,0.788235,true,5596,2.730667,true,185.1826934814453,0.158260,true,0.883400022983551,0.070105,true,57,2.166667,false,20,-0.428571,true,60,29.000000,12826,grazers,eaten,4,14105,0
4,1,true,4,3.000000,true,132,0.652632,true,17258,10.505333,true,185.17919921875,0.158276,true,0.8860999941825867,0.067263,true,103,4.722222,false,21,-0.400000,true,51,24.500000,,,,11,,0
4,2,true,2,1.000000,true,123,0.648571,true,16696,10.130667,true,183.57679748535156,0.165560,true,0.8849999904632568,0.068421,true,62,2.444444,false,11,-0.685714,true,309,29.900000,,,,11,,0
4,3,false,0,-1.000000,true,100,0.615385,true,5283,2.522000,true,185.9197998046875,0.154910,true,0.8877000212669373,0.065579,true,67,2.722222,false,12,-0.657143,true,205,19.500000,10978,grazers,eaten,3,12255,0
5,1,false,0,-1.000000,true,0,0.000000,true,4383,1.922000,true,190.44500732421875,0.134341,true,0.9089999794960022,0.043158,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,1450,trees,unrecorded,6,10252,0
5,2,false,0,-1.000000,true,95,0.634615,true,7423,3.948667,true,185.84939575195313,0.155230,true,0.8880000114440918,0.065263,true,53,1.944444,false,9,-0.742857,true,71,34.500000,13153,grazers,eaten,5,14124,0
5,3,false,0,-1.000000,true,82,0.751515,true,5933,2.955333,true,188.0688934326172,0.145141,true,0.8928999900817871,0.060105,true,61,2.388889,false,10,-0.714286,true,45,3.500000,10500,grazers,eaten,4,11757,0
