hunter.handling_ticks,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period
50,1.0,1,false,0,-1.000000,true,123,0.638235,true,2908,0.938667,false,255,-0.159091,true,0.8823000192642212,0.071263,true,383,20.277778,true,135,2.857143,false,0,-1.000000,9497,grazers,eaten,3,10678,0,,,grazers eaten,
50,1.0,2,false,0,-1.000000,true,58,0.834286,true,56629,36.752667,false,255,-0.159091,true,0.8835999965667725,0.069895,true,340,17.888889,true,100,1.857143,true,10,4.000000,20691,hunters,starved,36,20691,0,,,hunters starved,
50,1.0,3,false,0,-1.000000,true,63,0.809091,true,57836,37.557333,false,255,-0.159091,true,0.8824999928474426,0.071053,true,389,20.611111,true,82,1.342857,true,33,15.500000,21498,hunters,starved,28,21498,0,,,hunters starved,
50,1.0,42,false,0,-1.000000,true,67,0.813889,true,57589,37.392667,false,255,-0.159091,true,0.8788999915122986,0.074842,true,372,19.666667,true,54,0.542857,true,28,13.000000,20384,hunters,starved,32,20384,0,,,hunters starved,
50,1.2,1,false,0,-1.000000,true,111,0.673529,true,57421,37.280667,false,255,-0.159091,true,0.8817999958992004,0.071789,true,336,17.666667,true,100,1.857143,true,31,14.500000,24377,hunters,starved,32,24377,0,,,hunters starved,
50,1.2,2,false,0,-1.000000,true,69,0.802857,true,56910,36.940000,false,255,-0.159091,true,0.8835999965667725,0.069895,true,373,19.722222,true,135,2.857143,true,22,10.000000,16337,hunters,old_age,27,16337,0,,,hunters old_age,
50,1.2,3,false,0,-1.000000,true,531,0.831962,true,55741,36.160667,false,255,-0.159091,true,0.8799999952316284,0.073684,true,386,20.444444,true,95,1.714286,true,18,8.000000,15646,hunters,starved,29,15646,0,,,hunters starved,
50,1.2,42,false,0,-1.000000,true,66,0.816667,true,56471,36.647333,false,255,-0.159091,true,0.8788999915122986,0.074842,true,268,13.888889,true,46,0.314286,true,5,1.500000,16232,hunters,old_age,31,16232,0,,,hunters old_age,
100,0.6,1,false,0,-1.000000,true,139,0.591176,true,3641,1.427333,false,255,-0.159091,true,0.8820000290870667,0.071579,true,307,16.055556,true,110,2.142857,false,0,-1.000000,9373,grazers,eaten,2,10555,0,,,grazers eaten,
100,0.6,2,false,0,-1.000000,true,140,0.600000,true,7195,3.796667,false,255,-0.159091,true,0.8823000192642212,0.071263,true,460,24.555556,true,85,1.428571,true,334,32.400000,12768,grazers,eaten,6,14094,0,,,grazers eaten,
