tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
0,300,20,12,0.1000,0.0200,127.5000,128.0000,0.0000,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.2559,0.0000,0.0000
1,300,20,12,0.1045,0.0200,127.4361,127.9149,15.2295,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.2247,0.0000,0.0000
2,299,20,12,0.1089,0.0200,127.3734,127.8312,45.1925,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1941,0.0000,0.0000
3,298,20,12,0.1132,0.0200,127.3064,127.7419,76.1574,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1613,0.0000,0.0000
4,298,20,12,0.1178,0.0200,127.2416,127.6554,91.6001,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1297,0.0000,0.0000
5,298,20,12,0.1221,0.0200,127.1734,127.5646,107.8160,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.0964,0.0000,0.0000
6,300,20,12,0.1265,0.0200,146.7386,127.4741,123.9399,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0029,4.0012,0.0143,70.0055,0.1721,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,11.5149,2.3735,0.0000,71.6497,0.0000,1.9285
7,301,20,12,0.1306,0.0199,146.6705,127.3833,140.1359,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0036,4.0017,0.0170,70.0168,0.2605,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,71.6164,0.0000,0.0000
8,301,20,12,0.1348,0.0199,146.6034,127.2939,156.0526,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0036,4.0017,0.0170,70.0168,0.2605,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,71.5837,0.0000,0.0000
9,302,20,12,0.1389,0.0199,193.4330,127.2076,171.3895,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0040,4.0019,0.0172,70.0276,0.3199,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,27.8149,6.3469,0.0094,94.5562,0.0000,4.8014
10,302,20,12,0.1433,0.0199,191.8985,127.1153,186.3921,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0040,4.0019,0.0172,70.0276,0.3199,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.7004,0.1079,0.0000
11,302,20,12,0.1476,0.0199,191.8380,127.0347,207.2246,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0040,4.0019,0.0172,70.0276,0.3199,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.6709,0.0000,0.0000
12,302,20,12,0.1516,0.0199,191.7787,126.9555,227.7766,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0040,4.0019,0.0172,70.0276,0.3199,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.6419,0.0000,0.0000
13,304,20,12,0.1558,0.0199,191.7152,126.8709,249.6753,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0050,4.0024,0.0183,70.0310,0.3541,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.6109,0.0000,0.0000
14,305,20,12,0.1601,0.0199,191.6539,126.7891,270.8931,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0055,4.0027,0.0191,70.0314,0.3536,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.5810,0.0000,0.0000
15,305,20,12,0.1643,0.0199,191.5894,126.7031,308.1774,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999,0.0057,4.0032,0.0211,70.0300,0.3546,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0031,93.5495,0.0000,0.0000
