rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,false,0,-1.000000,true,151,0.612821,true,6426,3.284000,true,179.56640625,0.183789,true,0.882099986076355,0.071474,true,109,5.055556,false,27,-0.228571,false,6,-0.400000,10017,grazers,eaten,4,11291,0
1,2,false,0,-1.000000,true,94,0.530000,true,3720,1.480000,true,175.43870544433594,0.202551,true,0.8960000276565552,0.056842,true,44,1.444444,false,9,-0.742857,false,0,-1.000000,9135,grazers,eaten,4,10117,0
1,3,false,0,-1.000000,true,45,0.678571,true,4344,1.896000,true,173.52369689941406,0.211256,true,0.9071000218391418,0.045158,true,44,1.444444,false,2,-0.942857,true,231,22.100000,11101,grazers,eaten,3,12305,0
2,1,true,3,2.000000,true,142,0.645000,true,16577,10.051333,true,173.30470275878906,0.212251,true,0.8863000273704529,0.067053,true,98,4.444444,false,20,-0.428571,true,50,24.000000,,,,8,,0
2,2,true,3,2.000000,true,125,0.431818,true,16840,10.226667,true,169.23159790039063,0.230765,true,0.8880000114440918,0.065263,true,58,2.222222,false,5,-0.857143,true,60,29.000000,,,,13,,0
2,3,false,0,-1.000000,true,85,0.742424,false,0,-1.000000,true,175.98089599609375,0.200087,true,0.9013000130653381,0.051263,true,18,0.000000,false,6,-0.828571,false,0,-1.000000,6796,grazers,eaten,1,8155,0
3,1,true,11,10.000000,true,68,0.811111,true,16190,9.793333,true,170.74110412597656,0.223904,true,0.8766999840736389,0.077158,true,91,4.055556,false,31,-0.114286,true,57,27.500000,,,,15,,0
3,2,false,0,-1.000000,true,109,0.705405,true,7053,3.702000,true,174.41969299316406,0.207183,true,0.88919997215271,0.064000,true,37,1.055556,false,15,-0.571429,true,74,36.000000,12843,grazers,eaten,6,14147,0
3,3,false,0,-1.000000,true,78,0.770588,true,3851,1.567333,true,173.393798828125,0.211846,true,0.8946999907493591,0.058211,true,63,2.500000,false,11,-0.685714,false,0,-1.000000,9952,grazers,eaten,4,11275,0
4,1,true,4,3.000000,true,156,0.442857,true,16554,10.036000,true,173.99000549316406,0.209136,true,0.8828999996185303,0.070632,true,103,4.722222,false,9,-0.742857,true,222,21.200000,,,,9,,0
4,2,false,0,-1.000000,true,0,0.000000,true,6976,3.650667,true,176.45159912109375,0.197947,true,0.9089000225067139,0.043263,false,0,-1.000000,false,0,-1.000000,true,69,33.500000,1650,trees,unrecorded,5,13740,0
4,3,false,0,-1.000000,true,75,0.779412,true,11218,6.478667,true,175.36129760742188,0.202903,true,0.8962000012397766,0.056632,true,44,1.444444,false,7,-0.800000,true,60,29.000000,15702,grazers,eaten,6,17064,0
5,1,false,0,-1.000000,true,0,0.000000,true,2232,0.488000,true,178.78089904785156,0.187360,true,0.9089000225067139,0.043263,false,0,-1.000000,false,0,-1.000000,true,18,0.800000,1400,trees,unrecorded,2,11586,0
5,2,false,0,-1.000000,true,131,0.727083,true,5632,2.754667,true,175.22470092773438,0.203524,true,0.8828999996185303,0.070632,true,64,2.555556,false,19,-0.457143,true,194,18.400000,11110,grazers,eaten,4,12346,0
5,3,false,0,-1.000000,true,89,0.738235,false,0,-1.000000,true,176.7006072998047,0.196815,true,0.9054999947547913,0.046842,true,34,0.888889,false,3,-0.914286,false,0,-1.000000,7561,grazers,eaten,1,8829,0
